,Source,Target
24512,6264,31692
24513,6264,64739
24598,6280,102429
24642,6291,3648
24643,6291,9225
24644,6291,55126
24650,6292,29008
24695,6305,23931
24702,6310,87243
24703,6310,101813
24720,6316,86958
24760,6325,104195
24829,6334,95903
24864,6338,111316
24927,6360,21325
24983,6369,15153
24984,6369,35104
24985,6369,41330
24986,6369,53022
24994,6370,16045
25014,6372,29552
25031,6375,63221
25045,6378,16167
25112,6384,106224
25113,6385,6892
25114,6385,45322
25115,6385,56440
25116,6385,70752
25179,6401,1505
25180,6401,14448
25181,6401,15027
25182,6401,17056
25183,6401,26615
25184,6401,31973
25185,6401,34613
25186,6401,36980
25187,6401,47170
25188,6403,16167
25350,6453,105823
25378,6461,28009
25446,6489,38104
25494,6499,20552
25497,6499,34180
25507,6499,59542
25509,6499,79264
25571,6516,11353
25591,6521,66074
25595,6524,19031
25596,6524,21090
25597,6524,64740
25636,6534,9424
25637,6534,59078
25638,6534,83815
25721,6551,110794
25755,6562,48935
25791,6578,11839
25792,6578,16411
25803,6582,13971
25825,6591,100918
25939,6635,2186
25940,6635,4926
25941,6635,5714
25942,6635,11814
25943,6635,23871
25961,6643,23401
25962,6646,95
25963,6646,14285
25964,6646,18862
25965,6646,94563
25973,6649,8256
25974,6649,18105
25975,6649,59460
25976,6649,69675
25977,6649,70858
25978,6649,71165
25991,6653,4241
26009,6660,10498
26060,6679,9177
26086,6684,14704
26091,6684,47467
26149,6708,30727
26170,6711,100918
26215,6727,11822
26216,6727,89628
26217,6727,93609
26231,6729,2259
26232,6729,2320
26326,6747,5305
26327,6747,10958
26328,6747,12721
26329,6747,34962
26330,6747,62650
26333,6751,11556
26334,6752,59542
26382,6764,111316
26384,6765,2195
26396,6770,633
26397,6770,1447
26398,6770,2952
26399,6770,5974
26400,6770,6793
26401,6770,8083
26402,6770,21497
26403,6770,22272
26404,6770,25347
26405,6770,77549
26406,6770,97713
26435,6779,6882
26438,6779,41267
26487,6792,48784
26515,6799,3481
26556,6800,48260
26609,6809,25119
26610,6809,108488
26715,6836,4539
26766,6847,27347
26820,6851,45743
26875,6870,1120
26876,6870,2192
26877,6870,3939
26878,6870,5216
26879,6870,5754
26880,6870,6280
26881,6870,7042
26882,6870,15260
